Total Weight,volume,Average Weight,Number Density,Mass Density,Bond Length,Number of Atom,Number of unpaired Electron,Average Number of Electron,Maximun Principle quantum number,Pauling Electronegativity,DFT Heat Capcity,Log(DFT LTC)
407.15,197.03,50.89,0.04,3.43,2.37,8.00,1.50,23.50,3.50,2.20,180.9342599,1.935863154
1498.66,398.78,93.67,0.04,6.24,2.61,16.00,1.50,40.50,4.50,1.94,386.3592759,-0.070014307
501.83,103.43,83.64,0.06,8.06,2.49,6.00,3.33,36.67,4.33,2.19,137.9371707,1.654510239
680.15,104.67,113.36,0.06,10.79,2.50,6.00,3.33,47.33,4.67,2.19,138.6516061,1.573072833
689.18,131.12,114.86,0.05,8.73,2.67,6.00,3.33,48.67,5.00,2.10,142.26303,1.428744755
867.50,132.32,144.58,0.05,10.89,2.68,6.00,3.33,59.33,5.33,2.10,142.9669168,1.440552269
324.85,120.39,40.61,0.07,4.48,2.35,8.00,1.50,18.50,3.25,2.27,170.771935,0.847930311
119.88,41.37,59.94,0.05,4.81,2.75,2.00,2.00,27.00,4.00,1.77,46.67459685,1.719521871
166.72,51.15,83.36,0.04,5.41,2.95,2.00,2.00,36.00,4.50,1.71,47.64876145,1.546703027
624.70,273.38,69.41,0.03,3.79,3.21,9.00,0.67,30.00,4.00,2.40,218.3132965,-0.599450498
472.46,158.65,78.74,0.04,4.94,2.97,6.00,0.67,33.33,4.00,2.61,144.015651,0.3672565
252.09,164.42,21.01,0.07,2.55,1.84,12.00,1.67,10.33,2.50,2.46,233.6880674,-0.038680174
301.42,75.68,50.24,0.08,6.61,2.09,6.00,2.00,22.00,3.00,2.95,114.5298574,1.569202187
40.30,19.04,20.15,0.11,3.51,2.12,2.00,1.00,10.00,2.50,2.38,37.76604428,1.707927683
225.21,74.32,56.30,0.05,5.03,2.89,4.00,1.00,22.50,3.00,1.19,90.00997038,0.458139068
805.21,445.10,40.26,0.04,3.00,2.50,20.00,1.60,19.20,3.40,2.43,466.5473926,0.331645907
629.22,189.61,104.87,0.03,5.51,3.01,6.00,1.33,44.00,4.67,1.63,146.7040313,-0.017002534
358.86,164.82,59.81,0.04,3.62,2.84,6.00,1.33,27.33,4.00,1.55,144.3967655,0.562066734
330.99,116.29,55.17,0.05,4.73,2.73,6.00,1.33,24.67,3.67,1.79,145.086981,-0.331508474
2529.32,946.99,126.47,0.02,4.44,3.32,20.00,1.20,52.80,5.20,2.15,495.3768433,-0.804764745
269.29,145.86,33.66,0.05,3.07,2.06,8.00,1.50,16.00,3.00,2.40,162.8639187,0.790479861
162.12,48.02,40.53,0.08,5.61,2.50,4.00,1.25,18.75,3.25,1.67,88.04769444,1.498641319
495.26,256.73,35.38,0.05,3.20,2.41,14.00,1.43,17.14,3.14,2.17,305.8728676,1.021561392
50.02,28.10,12.51,0.14,2.96,1.66,4.00,1.00,6.00,2.00,2.51,52.52642919,2.634080749
748.41,236.68,93.55,0.03,5.25,2.67,8.00,1.50,39.50,4.50,2.14,193.9801533,-0.192453697
86.36,29.92,28.79,0.10,4.79,2.13,3.00,1.33,13.33,2.67,1.89,58.59163522,1.239349539
309.99,127.11,25.83,0.09,4.05,1.59,12.00,2.17,12.50,2.50,3.04,202.8685313,0.851233881
102.89,55.01,51.45,0.04,3.11,3.02,2.00,1.00,23.00,3.50,1.95,48.75818729,0.386712939
74.55,65.04,37.28,0.03,1.90,3.19,2.00,1.00,18.00,3.50,1.99,48.70946368,0.906238042
165.37,86.63,82.69,0.02,3.17,3.51,2.00,1.00,36.00,4.50,1.89,49.46992648,0.642048823
52.64,60.91,8.77,0.10,1.44,1.95,6.00,0.67,4.67,1.67,1.90,71.57376635,1.64872421
212.37,105.19,106.19,0.02,3.35,3.75,2.00,1.00,45.00,5.00,1.74,49.60084155,0.293141483
168.36,74.47,84.18,0.03,3.75,3.64,2.00,1.00,36.00,4.50,1.98,49.33285286,-0.13418562
212.81,84.84,106.40,0.02,4.17,3.81,2.00,1.00,45.00,5.00,1.88,49.60197995,-0.186539109
77.02,35.62,38.51,0.06,3.59,2.61,2.00,1.50,18.50,3.50,1.97,45.25670853,1.728532334
190.50,25.14,95.25,0.08,12.58,2.33,2.00,2.00,39.00,4.00,1.92,38.02261697,1.909657638
103.23,26.36,51.62,0.08,6.50,2.36,2.00,2.00,23.00,3.50,1.94,37.97317772,1.814460694
284.53,135.93,20.32,0.10,3.48,1.94,14.00,1.43,10.00,2.43,2.61,238.1646211,1.46155855
246.55,54.28,49.31,0.09,7.54,2.05,5.00,3.60,22.40,3.60,1.80,102.38507,1.2987876
45.95,34.37,11.49,0.12,2.22,1.37,4.00,1.00,5.50,1.75,2.79,64.86870582,0.954737645
232.66,54.18,116.33,0.04,7.13,2.60,2.00,1.00,48.00,4.50,2.24,47.36796561,0.602981888
40.10,21.00,20.05,0.10,3.17,1.90,2.00,2.00,10.00,2.50,2.22,27.56777606,2.685840227
366.74,136.76,26.20,0.10,4.45,1.95,14.00,1.43,12.57,2.57,2.66,244.854869,1.387692303
189.74,59.33,94.87,0.03,5.31,2.68,2.00,2.00,41.00,4.50,1.98,47.76695883,1.4895929
202.93,92.96,50.73,0.04,3.63,2.20,4.00,1.50,22.50,3.50,2.13,90.61563749,0.430515794
427.53,100.09,71.26,0.06,7.09,2.38,6.00,2.67,31.33,4.00,2.31,136.6954398,1.470635862
37.90,46.99,9.48,0.09,1.34,1.73,4.00,1.50,4.50,2.00,1.77,75.34312481,1.134474613
547.63,167.12,68.45,0.05,5.44,2.72,8.00,2.50,30.00,4.00,1.91,187.2478161,0.948874077
239.95,81.43,39.99,0.07,4.89,2.24,6.00,2.67,19.33,3.33,2.33,123.6152295,1.84102559
120.92,64.12,60.46,0.03,3.13,3.47,2.00,1.00,27.00,4.00,1.99,49.16770396,0.038341934
42.39,34.04,21.20,0.06,2.07,2.57,2.00,1.00,10.00,2.50,2.07,46.51793543,0.506450911
105.23,24.62,52.62,0.08,7.10,2.31,2.00,2.50,23.50,3.50,2.19,40.0719577,2.123230777
104.92,22.88,52.46,0.09,7.61,2.25,2.00,3.50,23.50,3.50,2.08,37.50344057,3.336499759
192.96,22.50,96.48,0.09,14.24,2.24,2.00,2.50,39.50,4.00,2.03,37.09276326,3.1286577
56.08,28.19,28.04,0.07,3.30,2.42,2.00,1.00,14.00,3.00,2.22,42.6229873,1.376996451
103.62,35.27,51.81,0.06,4.88,2.60,2.00,1.00,23.00,3.50,2.20,45.27181383,0.99881711
748.51,286.19,53.46,0.05,4.34,2.38,14.00,1.86,24.71,3.71,2.13,318.7763334,0.486968585
351.78,117.60,21.99,0.14,4.97,1.38,16.00,2.50,10.50,2.25,2.66,228.6061673,1.217939933
86.85,41.81,43.42,0.05,3.45,2.75,2.00,1.00,19.00,3.00,1.97,47.64614689,0.229323408
133.85,54.48,66.92,0.04,4.08,3.01,2.00,1.00,28.00,3.50,1.82,48.32372162,0.098193626
720.50,157.52,60.04,0.08,7.60,1.93,12.00,2.00,25.67,3.17,2.86,231.8146219,0.84515801
751.35,210.95,53.67,0.07,5.91,2.00,14.00,2.29,24.00,3.29,2.83,290.5772279,-0.775985189
166.58,62.64,83.29,0.03,4.42,3.15,2.00,1.00,36.00,4.50,1.75,48.63162274,1.288383384
72.14,46.55,36.07,0.04,2.57,2.86,2.00,1.00,18.00,3.50,1.79,46.24719374,1.503068528
56.37,35.54,28.19,0.06,2.63,2.61,2.00,1.00,14.00,3.00,1.95,45.39597426,1.268811904
120.40,65.95,24.08,0.08,3.03,2.19,5.00,0.80,11.60,2.60,2.81,109.219812,0.929122482
764.44,177.50,54.60,0.08,7.15,2.10,14.00,2.00,24.29,3.29,2.86,268.6044602,1.311096626
41.78,23.50,20.89,0.09,2.95,1.97,2.00,2.00,10.00,2.50,2.12,29.61849826,2.726360389
165.76,111.40,11.05,0.13,2.47,1.67,15.00,1.20,5.20,2.00,2.14,159.6517102,2.095982528
41.99,25.89,20.99,0.08,2.69,2.35,2.00,1.00,10.00,2.50,2.46,45.51986876,1.385606274
479.70,162.98,39.98,0.07,4.89,2.01,12.00,1.50,18.00,2.75,3.55,247.2100194,0.522035396
264.93,89.09,132.46,0.02,4.94,3.54,2.00,1.00,54.00,5.50,1.50,49.29689743,1.024813933
144.48,52.42,72.24,0.04,4.58,2.57,2.00,1.00,32.00,4.00,2.14,46.65844097,1.38268329
188.08,128.63,31.35,0.05,2.43,3.00,6.00,0.67,15.33,3.33,1.41,139.0786471,0.962577671
169.39,67.31,84.70,0.03,4.18,3.23,2.00,1.00,36.00,4.50,1.74,48.18664302,0.787680046
454.30,76.50,113.57,0.05,9.86,2.34,4.00,2.00,47.00,4.50,2.39,87.22504951,1.782130883
74.55,56.45,37.28,0.04,2.19,3.32,2.00,1.00,18.00,3.50,1.99,48.84156599,0.287264126
284.53,135.93,20.32,0.10,3.48,1.94,14.00,1.43,10.00,2.43,2.61,238.1187048,1.48036631
240.01,72.82,120.01,0.03,5.47,2.87,2.00,1.00,50.00,5.00,1.90,48.85980651,0.972124121
328.19,73.87,164.10,0.03,7.38,2.88,2.00,1.00,66.00,5.50,2.00,49.14922671,0.923264748
169.81,51.76,42.45,0.08,5.45,2.30,4.00,1.50,19.00,3.00,2.40,85.12505016,0.975765635
162.42,60.32,40.61,0.07,4.47,2.35,4.00,1.50,18.50,3.25,2.27,85.51272229,0.863301046
2094.65,817.77,130.92,0.02,4.25,3.74,16.00,1.38,53.88,5.63,1.28,396.643382,-1.0240752
1988.55,651.08,99.43,0.03,5.07,2.81,20.00,1.60,42.00,4.80,1.63,484.5476578,0.515644278
260.20,155.93,52.04,0.03,2.77,2.91,5.00,1.20,23.60,3.80,1.71,120.5727076,-0.005678447
248.16,119.79,41.36,0.05,3.44,2.72,6.00,0.67,18.67,3.00,2.10,111.6940384,0.691644265
436.48,157.20,72.75,0.04,4.61,2.95,6.00,0.67,30.67,3.67,2.02,117.8850958,0.582476239
530.48,179.33,88.41,0.03,4.91,3.03,6.00,0.67,36.67,4.00,1.92,119.8121676,0.336453063
102.91,29.77,51.46,0.07,5.74,2.46,2.00,2.00,23.00,3.50,2.13,42.02668561,1.30291508
484.95,305.94,34.64,0.05,2.63,2.50,14.00,1.43,16.86,3.29,2.05,314.7860455,0.856166783
546.22,275.41,39.02,0.05,3.29,2.33,14.00,2.14,18.71,3.43,2.08,316.0425648,0.697874201
286.16,60.20,143.08,0.03,7.89,3.11,2.00,2.00,58.00,5.00,2.18,49.24098594,0.062995401
450.39,168.67,34.65,0.08,4.43,1.97,13.00,1.85,16.46,2.85,2.78,252.7792467,0.38386322
469.71,208.68,78.29,0.03,3.74,3.26,6.00,1.33,33.33,4.33,1.42,146.3530625,-0.039405564
49.64,23.89,12.41,0.17,3.45,1.57,4.00,2.00,6.00,2.00,2.54,33.33397509,2.87395772
144.64,47.57,72.32,0.04,5.05,2.49,2.00,2.00,32.00,4.00,2.00,46.76246136,1.601799336
370.33,195.55,61.72,0.03,3.14,3.18,6.00,1.33,27.33,4.00,1.39,144.0825989,0.545459691
244.43,140.35,40.74,0.04,2.89,2.80,6.00,1.33,18.67,3.33,1.47,141.2052766,0.412398941
167.68,65.32,83.84,0.03,4.26,3.20,2.00,1.00,36.00,4.50,1.55,48.38945271,0.958592549
611.18,338.19,50.93,0.04,3.00,3.07,12.00,0.67,24.00,4.00,1.34,287.3470526,0.287973325
194.40,49.38,97.20,0.04,6.54,2.91,2.00,2.50,41.50,4.50,2.03,48.98327573,0.990072335
526.46,69.80,131.62,0.06,12.52,2.91,4.00,0.50,55.00,4.50,2.10,97.34211779,0.566060193
483.11,119.93,96.62,0.04,6.69,2.67,5.00,1.20,40.80,4.60,1.60,114.8701382,0.793804349
182.59,73.11,36.52,0.07,4.15,2.26,5.00,1.80,17.00,3.40,1.76,101.6884872,1.305630776
270.43,76.59,54.09,0.07,5.86,2.30,5.00,1.80,24.20,3.80,1.79,104.8133797,1.2504444
272.43,74.19,54.49,0.07,6.10,2.27,5.00,2.00,24.40,3.80,1.89,107.3894232,1.053539396
359.99,77.23,72.00,0.06,7.74,2.31,5.00,1.80,30.60,4.00,1.79,105.5534112,1.029302594
361.99,74.79,72.40,0.07,8.04,2.28,5.00,2.00,30.80,4.00,1.89,107.892045,0.936790115
46.80,30.56,15.60,0.10,2.54,2.15,3.00,0.67,7.33,2.33,1.74,50.32318115,1.409070438
